uid,nickname,time,star,comment
-63601517702855766,****r,2019-08-22 23:04:25,5,不错不错，就是做工一般，不过这个价位可以了
750380933100515035,****8,2020-07-16 17:14:10,5,哈哈哈，好好好
-67985381105981407,****b,2021-03-18 19:20:05,5,还是很不错的，就是这个底座有点鸡肋。推荐购买
-54560255873843111,风***Z,2019-05-03 11:38:03,5,脖子有点高哈哈哈有点强迫症就削了半个小时其他的地方都还不错
120251338612485038,5***m,2019-07-21 03:01:44,5,性价比不错，精致程度可以
-52911133695296333,誓***r,2019-06-15 20:25:48,5,很棒，跟介绍里一样，细节分明大小适中，还原度很高
163913415607444757,莫***嵐,2019-04-25 21:06:07,5,送给红颜知己的，她说她很喜欢，我表示也很高兴。
499587898697557934,****h,2019-10-08 06:47:54,5,很喜欢 质量很好 老公很喜欢
483164622476317671,****b,2019-10-15 20:10:51,5,送给朋友的，朋友收到很喜欢
-23182287077721377,冰***叶,2019-09-19 00:42:15,5,这个价位 国产做成这样很不错了
-31879254562469221,****O,2019-10-06 09:58:30,5,老婆当然好看啦，这还有什么说的| ?&bull;?&omega;&bull;?)???
-77386091005684584,定***生,2019-11-04 06:11:25,5,啊啊啊啊啊爱死蕾姆了
463207641218751223,****V,2019-06-03 16:05:30,5,蕾姆～～awsl手办还是很好看的，还送海报嘻嘻
190591651306494052,****e,2020-04-02 19:02:32,5,很好就完事了 客服态度也非常好
-11939357040114204,浅***溏,2019-10-22 17:44:05,5,东西收到，做工精细。
-24419168450046867,****U,2019-10-14 13:06:09,5,此用户未填写评价内容
234792984470723973,****4,2020-05-09 16:57:39,5,风格款式：喜欢
290552189230078278,颓***B,2019-05-31 13:37:07,5,送给同学的，咱也不好说啥，但是看起来挺好的
142819976378823040,****0,2019-07-08 13:56:05,5,好看好看，虽然是3天到。脖子有点松
190591651306494052,****e,2019-04-02 21:03:45,5,细节不是很好，不够一分钱一分货，也不错
105853133083466520,c***4,2018-05-18 12:36:25,5,我雷姆老婆超级好看！送的海报也很喜欢，很愉快的一次购物
839491038868781300,****f,2020-07-22 21:09:03,4,很好呢茶杯那些很精致
360879737289443316,怕***假,2019-01-27 18:13:12,5,材质不是很好，做工也不是很精细，但是国产这样已经不错啦。
-18228391512479450,l***1,2020-03-29 13:55:35,5,适用人群：阿宅
-23901014263275156,金***w,2019-03-28 14:06:55,5,稀罕，这个价位买到这个手办很欢喜！
-22573161394479918,****7,2019-07-18 23:43:49,5,很棒，但是还是有点小瑕疵
-55930993880543227,c***w,2019-04-10 20:26:29,5,总体来说没什么问题，很喜欢^?_?^
449381862692065426,****z,2019-08-05 17:39:03,5,挺好看的做工也不错
900689837277631186,猪***0,2019-03-06 19:04:29,5,这就很棒，? ? 罩罩可拖
209506408694358505,l***K,2019-05-02 15:29:23,5,商品收到了，非常喜欢
-86668207692843238,一***_,2020-03-05 09:50:51,4,这个价位已经很不错了，物流也很快
783681383091095727,烟***河,2019-06-22 11:57:55,5,给同学买的，还不错
146656027304317662,****1,2019-03-09 16:31:17,5,很好看，还送了海报，真的很不错&hellip;&hellip;
530116196252707366,****E,2021-04-03 09:53:02,5,特别喜欢，爱了，爱了
-18573813944727085,u***m,2021-04-17 22:14:58,5,整体不错 价廉物美
-22694166514770640,x***T,2019-04-11 22:59:11,5,给表弟买的，表弟说不错
-38758098941255813,要***嘛,2019-05-15 00:11:06,5,这个价位。。还行吧
622257188771264977,米***达,2019-03-01 22:30:35,5,真的超级好看啊，速度也很快
701652997177416239,归***女,2019-03-01 17:04:07,5,性价比高，表情较好，很不错
837647840481266809,清***明,2021-03-17 13:11:42,5,此用户未填写评价内容
395553659232125475,A***惜,2019-07-31 21:23:03,5,做工精致，很不错
142819976378823040,****0,2019-03-09 10:56:43,5,很好，各个方面都很优秀
355598761679343740,****3,2021-03-03 22:37:26,5,此用户未填写评价内容
426680400925383077,****a,2019-01-31 22:04:16,5,帮朋友买的，快递太给力了
